Species
American Redstart
Bay-breasted Warbler
Black-and-white Warbler
Canada Jay
Canada Warbler
Cape May Warbler
Chipping Sparrow
Common Raven
Hermit Thrush
Least Flycatcher
Magnolia Warbler
Ovenbird
Palm Warbler
Philadelphia Vireo
Pine Siskin
Red-breasted Nuthatch
Red-eyed Vireo
Rose-breasted Grosbeak
Ruby-crowned Kinglet
Swainson's Thrush
Tennessee Warbler
Warbling Vireo
Western Tanager
White-throated Sparrow
White-winged Crossbill
Yellow-bellied Sapsucker
Yellow-rumped Warbler (all forms)
Alder Flycatcher
American Crow
American Robin
American Three-toed Woodpecker
Black-backed Woodpecker
Black-capped Chickadee
Blue-headed Vireo
Bohemian Waxwing
Boreal Chickadee
Common Yellowthroat
Dark-eyed Junco (all forms)
Evening Grosbeak
Fox Sparrow
Golden-crowned Kinglet
Hairy Woodpecker
Hammond's Flycatcher
Lincoln's Sparrow
Mourning Warbler
Northern Flicker
Northern Waterthrush
Orange-crowned Warbler
Pileated Woodpecker
Purple Finch
Varied Thrush
Western Wood-Pewee
Winter Wren
Yellow Warbler
Yellow-bellied Flycatcher
