WBF_list_2009_2019,WBF_list_1970_2019
Greater Yellowlegs,Greater Yellowlegs
Lesser Yellowlegs,Lesser Yellowlegs
Nelson's Sparrow,Nelson's Sparrow
Solitary Sandpiper,Solitary Sandpiper
Spotted Sandpiper,Spotted Sandpiper
Swamp Sparrow,Swamp Sparrow
Wilson's Snipe,Wilson's Snipe
Alder Flycatcher,Alder Flycatcher
American Goldfinch,American Goldfinch
American Redstart,American Redstart
American Robin,American Robin
American Three-toed Woodpecker,American Three-toed Woodpecker
Baltimore Oriole,Baltimore Oriole
Black-and-white Warbler,Black-and-white Warbler
Black-billed Cuckoo,Black-billed Cuckoo
Bay-breasted Warbler,Bay-breasted Warbler
Black-backed Woodpecker,Black-backed Woodpecker
Black-capped Chickadee,Black-capped Chickadee
Blue-headed Vireo,Blue-headed Vireo
Blackburnian Warbler,Blackburnian Warbler
Blue Jay,Blue Jay
Blackpoll Warbler,Blackpoll Warbler
Boreal Chickadee,Boreal Chickadee
Bohemian Waxwing,Bohemian Waxwing
Brown Creeper,Brown Creeper
Brown Thrasher,Brown Thrasher
Black-throated Blue Warbler,Black-throated Blue Warbler
Black-throated Green Warbler,Black-throated Green Warbler
Canada Warbler,Canada Warbler
Cedar Waxwing,Cedar Waxwing
Chipping Sparrow,Chipping Sparrow
Cape May Warbler,Cape May Warbler
Connecticut Warbler,Connecticut Warbler
Chestnut-sided Warbler,Chestnut-sided Warbler
Dark-eyed Junco (all forms),Dark-eyed Junco (all forms)
Downy Woodpecker,Downy Woodpecker
Dusky Flycatcher,Dusky Flycatcher
Eastern Bluebird,Eastern Bluebird
Eastern Phoebe,Eastern Phoebe
Eastern Towhee,Eastern Towhee
Eastern Wood-Pewee,Eastern Wood-Pewee
Evening Grosbeak,Evening Grosbeak
Field Sparrow,Field Sparrow
Fox Sparrow,Fox Sparrow
Great Crested Flycatcher,Great Crested Flycatcher
Golden-crowned Kinglet,Golden-crowned Kinglet
Gray-cheeked Thrush,Gray-cheeked Thrush
Gray Jay,Gray Jay
Gray Catbird,Gray Catbird
Golden-winged Warbler,Golden-winged Warbler
Hammond's Flycatcher,Hammond's Flycatcher
Hairy Woodpecker,Hairy Woodpecker
Hermit Thrush,Hermit Thrush
House Wren,House Wren
Indigo Bunting,Indigo Bunting
Least Flycatcher,Least Flycatcher
Lincoln's Sparrow,Lincoln's Sparrow
Magnolia Warbler,Magnolia Warbler
Mountain Bluebird,Mountain Bluebird
Mourning Warbler,Mourning Warbler
Nashville Warbler,Nashville Warbler
Northern Cardinal,Northern Cardinal
Northern Flicker (all forms),Northern Flicker (all forms)
Northern Parula,Northern Parula
Northern Waterthrush,Northern Waterthrush
Orange-crowned Warbler,Orange-crowned Warbler
Olive-sided Flycatcher,Olive-sided Flycatcher
Ovenbird,Ovenbird
Palm Warbler,Palm Warbler
Philadelphia Vireo,Philadelphia Vireo
Pine Grosbeak,Pine Grosbeak
Pine Siskin,Pine Siskin
Pine Warbler,Pine Warbler
Pileated Woodpecker,Pileated Woodpecker
Purple Finch,Purple Finch
Rose-breasted Grosbeak,Rose-breasted Grosbeak
Red-breasted Nuthatch,Red-breasted Nuthatch
Ruby-crowned Kinglet,Ruby-crowned Kinglet
Red Crossbill,Red Crossbill
Red-eyed Vireo,Red-eyed Vireo
Ruby-throated Hummingbird,Ruby-throated Hummingbird
Rusty Blackbird,Rusty Blackbird
Ruffed Grouse,Ruffed Grouse
Scarlet Tanager,Scarlet Tanager
Sooty Grouse,Sooty Grouse
Swainson's Thrush,Swainson's Thrush
Tennessee Warbler,Tennessee Warbler
Townsend's Solitaire,Townsend's Solitaire
Townsend's Warbler,Townsend's Warbler
Varied Thrush,Varied Thrush
Veery,Veery
Warbling Vireo,Warbling Vireo
White-breasted Nuthatch,White-breasted Nuthatch
Western Tanager,Western Tanager
Western Wood-Pewee,Western Wood-Pewee
Wilson's Warbler,Wilson's Warbler
Winter Wren,Winter Wren
Wood Thrush,Wood Thrush
White-throated Sparrow,White-throated Sparrow
White-winged Crossbill,White-winged Crossbill
Yellow-bellied Flycatcher,Yellow-bellied Flycatcher
Yellow-bellied Sapsucker,Yellow-bellied Sapsucker
Yellow Warbler,Yellow Warbler
Yellow-rumped Warbler (all forms),Yellow-rumped Warbler (all forms)
Yellow-throated Vireo,Yellow-throated Vireo
