WBF_list_2009_2019,WBF_list_1970_2019
American Bittern,American Bittern
Black Tern,Black Tern
Black-crowned Night-Heron,Black-crowned Night-Heron
Bonaparte's Gull,Bonaparte's Gull
Caspian Tern,Caspian Tern
Common Loon,Common Loon
Common Nighthawk,Common Nighthawk
Common Tern,Common Tern
Common Yellowthroat,Common Yellowthroat
Eared Grebe,Eared Grebe
Forster's Tern,Forster's Tern
Horned Grebe,Horned Grebe
Killdeer,Killdeer
LeConte's Sparrow,LeConte's Sparrow
Least Sandpiper,Least Sandpiper
Marbled Godwit,Marbled Godwit
Mew Gull,Mew Gull
Northern Harrier,Northern Harrier
Pacific Loon,Pacific Loon
Peregrine Falcon,Peregrine Falcon
Pied-billed Grebe,Pied-billed Grebe
Purple Martin,Purple Martin
Red-necked Grebe,Red-necked Grebe
Red-necked Phalarope,Red-necked Phalarope
Red-throated Loon,Red-throated Loon
Sedge Wren,Sedge Wren
Sharp-tailed Grouse,Sharp-tailed Grouse
Short-eared Owl,Short-eared Owl
Sora,Sora
Virginia Rail,Virginia Rail
Western Grebe,Western Grebe
Whimbrel,Whimbrel
Whooping Crane,Whooping Crane
Wilson's Phalarope,Wilson's Phalarope
Yellow Rail,Yellow Rail
