species_code,common_name,scientific_name,guild 
EAWP,Eastern Wood-Pewee,Contopus virens,Forest
WOTH,Wood Thrush,Hylocichla mustelina,Forest
BAOR,Baltimore Oriole,Icterus galbula,Forest
LEFL,Least Flycatcher,Empidonax minimus,Forest
CAWA,Canada Warbler,Cardellina canadensis,Forest
WBNU,White-breasted Nuthatch,Sitta carolinensis,Forest
WITU,Wild Turkey,Meleagris gallopavo,Forest
PIWO,Pileated Woodpecker,Dryocopus pileatus,Forest
BADO,Barred Owl,Strix varia,Forest
RBNU,Red-breasted Nuthatch,Sitta canadensis,Forest
BHVI,Blue-headed Vireo,Vireo solitarius,Forest
PIWA,Pine Warbler,Setophaga pinus,Forest
OVEN,Ovenbird,Seiurus aurocapilla,Forest
SCTA,Scarlet Tanager,Piranga olivacea,Forest
AMRE,American Redstart,Setophaga ruticilla,Forest
BAWA,Black-and-white Warbler,Mniotilta varia,Forest
BTNW,Black-throated Green Warbler,Setophaga virens,Forest
DOWO,Downy Woodpecker,Picoides pubescens,Forest
CHSP,Chipping Sparrow,Spizella passerina,Forest
NOFL,Northern Flicker,Colaptes auratus,Forest
WWCR,White-winged Crossbill,Loxia leucoptera,Forest
BBWA,Bay-breasted Warbler,Setophaga castanea,Forest
RCKI,Ruby-crowned Kinglet,Regulus calendula,Forest
RUGR,Ruffed Grouse,Bonasa umbellus,Forest
GCFL,Great Crested Flycatcher,Myiarchus crinitus,Forest
VEER,Veery,Catharus fuscescens,Forest
RBGR,Rose-breasted Grosbeak,Pheucticus ludovicianus,Forest
WTSP,White-throated Sparrow,Zonotrichia albicollis,Forest
REVI,Red-eyed Vireo,Vireo olivaceus,Forest
BCCH,Black-capped Chickadee,Poecile atricapillus,Forest
YBSA,Yellow-bellied Sapsucker,Sphyrapicus varius,Forest
BLJA,Blue Jay,Cyanocitta cristata,Forest
BRCR,Brown Creeper,Certhia americana,Forest
NOWA,Northern Waterthrush,Parkesia noveboracensis,Forest
HETH,Hermit Thrush,Catharus guttatus,Forest
WIWR,Winter Wren,Troglodytes hiemalis,Forest
HAWO,Hairy Woodpecker,Picoides villosus,Forest
COHA,Cooper's Hawk,Accipiter cooperii,Forest
BWHA,Broad-winged Hawk,Buteo platypterus,Forest
WAVI,Warbling Vireo,Vireo gilvus,Forest
BLBW,Blackburnian Warbler,Setophaga fusca,Forest
